iterations,log_loss,log_fake_loss
0,0.027104219613501502,5.404424772708325
1,-0.0013673709071239798,5.4538782497782154
2,-0.0213814863922281,5.31116485711826
3,-0.03091227590991998,5.119571349583424
4,-0.04715771614336814,5.0545072226792955
5,-0.10789443056367333,5.063260500370954
6,-0.12888947848612128,4.893681344279669
7,-0.1833830826902626,4.770947803942236
8,-0.20976891125571834,4.749285326253897
9,-0.3017539338677151,4.634690173857587
10,-0.353063997249954,4.464092868540871
11,-0.3507051883054569,4.466331504257828
12,-0.3871028716759847,4.46746829599792
13,-0.49172614912278334,4.3715834427071965
14,-0.5428236210592502,4.297031995173458
15,-0.5851597890315596,4.1672473722937
16,-0.646506955000647,4.117603496159461
17,-0.6948801365873137,4.089801699315583
18,-0.7943494196207175,4.001569313735459
19,-0.8025162111557216,4.093126614505632
20,-0.8163304382893544,4.042294935659224
21,-0.9379643637125558,3.9042810162529245
22,-0.9986364350565751,4.062032409771141
23,-1.0175670384062063,4.29065715878526
24,-1.0993190918538094,4.277333362417329
25,-1.1250013897808775,4.329050748282338
26,-1.1997333434192516,4.544940078625751
27,-1.223855340801555,4.655485283744008
28,-1.219341095918014,4.956310708710243
29,-1.112933514477185,4.797709796808838
30,-1.2539152534624762,5.122697606660736
31,-1.1597438013471846,5.131459941401323
32,-1.2030467386587531,5.139591927740123
33,-1.2526560136801888,5.13658727450345
34,-1.1828358254575901,4.9613068991691325
35,-1.2609360214878895,4.812394792868281
36,-1.3124789458084585,4.464659538873446
37,-1.3582545169923146,4.42952305241953
38,-1.3855044348134096,4.209641396232093
39,-1.3791439447843872,4.0192437968406916
40,-1.4583992771601724,4.008078576637492
41,-1.4141514058717015,3.8244427299632227
42,-1.360924194806119,3.4544665510660764
43,-1.4195615383413316,3.267433955865368
44,-1.394599614171364,3.2562553530429765
45,-1.3645155335185362,3.1799131167588337
46,-1.4114224059213873,3.0441945016456717
47,-1.3772870638158856,3.2029509735312036
48,-1.4478113794138667,3.0649584247138892
49,-1.444130463919344,3.0064235896962264
50,-1.473748752922815,3.13989133902212
51,-1.439683177253149,3.0972222023717992
52,-1.4405168479860393,2.9757999839213496
53,-1.5506916603106997,3.2251961415523978
54,-1.4990590499242127,3.1231785691220506
55,-1.5541312798245233,3.10112948592618
56,-1.583148670557412,3.0637103786306397
57,-1.4691417908072564,3.1270096816156743
58,-1.5355345286054864,3.0358813427361593
59,-1.5764898537219199,3.281447366841052
60,-1.527484332344794,3.162255739793575
61,-1.6397292744218666,3.216376289446057
62,-1.5572362015100274,2.929199374014757
63,-1.5329643563078077,3.0331937082796117
64,-1.5252192682523606,3.0498436539894245
65,-1.585460311043121,3.0295149935285552
66,-1.5400917670215026,3.103433787399347
67,-1.6135712931292632,3.0672791394248993
68,-1.4487750644940893,3.0357396968992565
69,-1.5908074848266114,2.9190474279454617
70,-1.603735494131927,2.9280629410097347
71,-1.6008742419545456,2.770114395439389
72,-1.5948381446538977,2.7557870147982086
73,-1.524713680760441,2.7883163663793518
74,-1.624783052433102,2.7219716052500162
75,-1.5066068241923873,2.626693044213465
76,-1.6932651148204907,2.8030438265323254
77,-1.6793158212025763,2.717513983054369
78,-1.6638062089700547,2.778173194801007
79,-1.578753547676522,2.811302974876162
80,-1.4769940612705938,2.6238439597464756
81,-1.6405955381540245,2.533118795989924
82,-1.5723700614993659,2.6369497379106854
83,-1.6852092762945188,2.6422420891103724
84,-1.6568621375827002,2.6646183988421974
85,-1.7167685227592315,2.714106096707418
86,-1.604047354532137,2.6331927807644737
87,-1.6724434650848443,2.613942504405403
88,-1.654640330386487,2.7179918827528864
89,-1.5120701095351632,2.5673091157605823
90,-1.6815085563353378,2.561779386791428
91,-1.7607801045280467,2.6637544214742688
92,-1.6495182972815607,2.7071964253828145
93,-1.6836226537319956,2.556038252590866
94,-1.8484776208820235,2.6923445355384215
95,-1.7928827533598657,2.5623116131301096
96,-1.7109755270458635,2.6374653343031604
97,-1.6983403050881585,2.7942710829834625
98,-1.7882268692436427,2.5660627024240896
99,-1.7166652584756052,2.5943827539948234
100,-1.5896715347687023,2.569150186761573
101,-1.7105682987588542,2.5451233898144725
102,-1.6895604289445778,2.536782814987614
103,-1.8008948914686824,2.5144352549732565
104,-1.7999115346836498,2.623913259518644
105,-1.7415870243725566,2.42330705663579
106,-1.7845333645793562,2.5164293290680098
107,-1.7740974374855074,2.5347104796782896
108,-1.7603500925266684,2.5141290354423305
109,-1.781630851400196,2.5304933523076896
110,-1.7716561361354812,2.493568681370448
111,-1.72778443031455,2.5282097709197333
