iterations,log_loss,log_fake_loss
0,2.9198069431377176,5.370793513745361
1,2.8715008939444657,5.290869042224611
2,2.888131506604518,5.2451581903181985
3,2.850162880684859,5.18139626210235
4,2.8315312193409348,5.037216821987872
5,2.6377305700807647,4.84678706925251
6,2.5886759342884527,4.9788545682190675
7,2.532687559607798,4.718163189720557
8,2.4690284635838786,4.64686774923459
9,2.250252154906417,4.619286014369006
10,2.424587003264457,4.534331259958248
11,2.252020140478881,4.395894210005743
12,2.0997193551817896,4.389520306914148
13,1.8835619879759318,4.2269491262426975
14,1.9258660699587953,4.164884867272092
15,1.9066520893184264,4.091379393167479
16,1.6034555840273939,4.143846247269671
17,1.6484474744748145,3.892204574479257
18,1.5044354903408368,3.9326678025095836
19,1.66089716099178,3.848964914605354
20,1.3645436744100077,3.7070844111071604
21,1.49410635296208,3.6882669122699157
22,1.3982863870085298,3.6789777070186074
23,1.3465222006670354,3.6244352278468703
24,1.3496239325008783,3.596227880788677
25,1.2983157074563039,3.5304949517060917
26,1.2811013602189325,3.5258039849608043
27,1.1318975609796977,3.471923708072438
28,1.0418506087821962,3.449121295016117
29,0.9203987223346791,3.425355856036515
30,0.9438028002858061,3.5589362599277825
31,0.8242108788683526,3.5130160330207376
32,0.7999542317255037,3.499895854905958
33,0.8379691006379703,3.455611158315144
34,0.6753702549276784,3.4304762644654785
35,0.7591166938316047,3.4793319777930725
36,0.7585104164703416,3.4997934316393575
37,0.6924551696683671,3.329217505209365
38,0.4004947027856729,3.2330281364944526
39,0.49572039955487246,3.295170696919949
40,0.43307381710004345,3.3118269203981785
41,0.44287353767798765,3.112539372662841
42,0.19628459242439683,3.050303851289861
43,0.2809962109397444,3.204934876830813
44,0.49239029306702253,3.0890513679316283
45,0.27572921168350806,3.1570270425128495
46,0.14993740698247884,3.1076943809273847
47,0.03986992706795202,3.1333208785563267
48,0.08273025187070215,2.9530879360957223
49,0.04935228798387971,3.136254461404594
50,0.022504538530224518,3.098735725417012
51,-0.07695919100966597,3.032127277585523
52,-0.05358877336319916,3.0734047145528858
53,-0.062238743541522305,2.928637999024879
54,-0.1983611810646894,2.980722169400795
55,-0.19067155057991114,2.9381402927114
56,-0.22629420414505716,2.85883720660735
57,-0.2199986049861491,2.79396855762949
58,-0.15871188093602784,2.791403158711219
59,-0.3608883364961294,2.797602020359903
60,-0.5409954231465416,2.8035334144749586
61,-0.45958116167594965,2.7639984862455327
62,-0.6015365928143689,2.8394112683445805
63,-0.5088197154092549,2.765010135621197
64,-0.4687827180618911,2.756990277691828
65,-0.34783290489468094,2.73379567393436
66,-0.5152622482768658,2.6815222391224034
67,-0.531521509596153,2.663014338974347
68,-0.6265638385856748,2.66215303445636
69,-0.6354820900532523,2.6705162562867875
70,-0.49022198472957246,2.79338786792073
71,-0.7394785283948992,2.7037384489553227
72,-0.5504952447439007,2.738892140206433
73,-0.7484174270215403,2.50719429200108
74,-0.6549074815300415,2.604223429808563
75,-0.6594143878462587,2.64024102415376
76,-0.71447964944716,2.5587395228613836
77,-0.697888328647419,2.6252228273943383
78,-0.6960302369184561,2.5695808818682724
79,-0.9119174895163586,2.5633447241212295
80,-0.9071649172800798,2.5607447301977952
81,-0.8075888698222631,2.5673247775823307
82,-0.8364791243550785,2.5802834256311886
83,-0.6772167777756848,2.5848070920935933
84,-0.9678756735313969,2.600036508417238
85,-0.741324635793008,2.546260435655279
86,-1.0613977721303636,2.6854427597432338
87,-0.9201827904220075,2.5449799332895044
88,-0.9155272494828712,2.66943700499254
89,-0.9258638230786744,2.6877653446677257
90,-0.9986850575730086,2.5456691147910884
91,-0.9373164088103184,2.702082775211781
92,-0.8995961149604889,2.5747462838820274
93,-0.9005290130774768,2.5884965329439518
94,-0.8928018483818656,2.6769935856766445
95,-1.1202751698442595,2.5761845520526427
96,-1.0563123905087872,2.4777550450049173
97,-1.0648071759973017,2.62843625294369
98,-0.8309008074133777,2.6286411893227455
99,-0.8349506677983379,2.452641234155401
100,-1.0701699593250993,2.6327904173899705
101,-1.0406593328198757,2.5676215739617785
102,-0.9411466708029411,2.5593570288961174
103,-0.9442010683074245,2.566180672938632
104,-1.0040444404767688,2.4974599755204743
105,-0.8781498404697933,2.544634790017377
106,-0.9857722636920729,2.5606949289423664
107,-0.9250322083176931,2.664424092250489
108,-1.0257941047632408,2.6456099003369697
109,-0.8435168145576519,2.5163064187644215
110,-0.9466101252394024,2.6572311551922767
111,-0.9488511056237396,2.536480797581509
112,-1.1133996222040428,2.5940388589285157
113,-1.2285098782748933,2.4690714996447536
114,-0.9492398111204019,2.555209149600989
115,-1.0130372971383235,2.527448051510598
116,-1.0107939371600199,2.5828576760705046
117,-1.0803151872924392,2.535914854261752
118,-1.0913637271739443,2.509130161700772
119,-1.0437655292411212,2.5039582695832365
120,-1.096186284917117,2.412406440913838
121,-1.064005120972456,2.5201647938798284
122,-1.0572974422916488,2.635253116592786
123,-1.0110687986990223,2.607375641156742
124,-1.2526177374237542,2.525368853639206
125,-1.1328312834016039,2.5603910580866143
126,-1.1257551496621399,2.4965974849894406
127,-1.0219469567786903,2.571108692133887
128,-1.0640728340304526,2.5399871634957734
129,-1.1334109924897673,2.5570041414626847
130,-0.9381129966099799,2.493993097998921
131,-1.2030206364806342,2.499834983828981
132,-1.1321727626373628,2.6127524253448966
133,-1.0841216231018467,2.573826619216431
134,-1.1546346244025758,2.542352921457491
135,-1.2909760317682513,2.590933394919839
136,-1.2006826423039179,2.505493861878918
137,-1.0853158432331351,2.444502585230768
138,-1.0440025362633942,2.5583909742828563
139,-1.1955068939025524,2.5875880704206744
140,-1.1645493015828705,2.484267086154483
141,-1.2407890821642393,2.5780371740549533
142,-1.2569325600177517,2.585469589377339
143,-1.3216297319565067,2.615636308996922
144,-1.2646213403085014,2.547661342365592
145,-1.3711674899741704,2.4850793294021467
146,-1.2814459089172272,2.486564271120583
147,-1.366998286536258,2.5486312512828033
148,-1.3049797109734496,2.4217877984749414
149,-1.2001090163043076,2.4889571936655397
150,-1.2439950522047238,2.512610985104743
151,-1.2359256713126074,2.4720609158144775
152,-1.1049561830740489,2.5153397834769797
153,-1.3741171892174155,2.488021183803784
154,-1.2936948564251431,2.5616842271879836
155,-1.2261995557928653,2.650607215238259
156,-1.3998809725306947,2.569946721076349
157,-1.3336131110351495,2.5511969212419108
158,-1.3752941329481223,2.5411311880585754
159,-1.1461093439508292,2.446239149927204
160,-1.4111679289215813,2.5018509328263567
161,-1.1774361687770745,2.53169553292039
162,-1.2535091095117532,2.6107084383594867
163,-1.1862701514921685,2.5619067672600973
164,-1.1450581418451065,2.6479014448950924
165,-1.0144355874114246,2.5501265327600344
166,-1.1180035878553842,2.529493444906869
167,-1.3261132400940339,2.4816328163377332
168,-1.3904454879491837,2.5334392433104687
169,-0.988933906583785,2.631598551688461
170,-1.2618150540931576,2.5499199730975874
171,-1.1690699159744478,2.59007307388789
172,-1.2048555014768603,2.389728036594929
173,-0.9598906721318343,2.505217599639826
174,-1.4391504047221553,2.500396516434778
