iterations,log_loss,log_fake_loss
0,2.923310999041044,5.574165935026676
1,2.992134366734563,5.384031872283214
2,2.924692767643684,5.273658833882309
3,2.8364434337642344,5.236244553053368
4,2.8450573476405716,5.150086970528017
5,2.660279357489498,5.021970445699894
6,2.554616204957768,4.849444791648512
7,2.4377010706791675,4.831772896432577
8,2.5022488865339847,4.717923776586224
9,2.326465124136129,4.608817700516306
10,2.4036337671107617,4.524941176578326
11,2.157035997201308,4.445488235465488
12,1.953913424548256,4.454199399262826
13,2.001031621224615,4.4118553181026865
14,1.8263000275024779,4.345903878208526
15,1.8277130649197733,4.1233945964157455
16,1.7751891412205623,4.10182656022201
17,1.6676887725586202,3.9721807070180826
18,1.6092657594025062,3.859326524629417
19,1.4339207744454625,3.9051655163523016
20,1.6333115184803928,3.8317906066585152
21,1.4040438793903591,3.8674619041885183
22,1.5529960010217858,3.6876448284466607
23,1.4707573953769062,3.7403462211175116
24,1.2808276508375782,3.628467437344754
25,1.2507591316449258,3.6792663256942393
26,1.2090240834114967,3.7395671727214266
27,1.0757011830549077,3.6115261203123414
28,1.0003947589445632,3.6861415251396275
29,0.9897246651383977,3.5019647692134273
30,0.9713544276291513,3.773949977982372
31,0.9376084408203815,3.5775878618348327
32,0.7949168002171737,3.594978707685092
33,0.7323252158768815,3.484631759187761
34,0.5573605317814188,3.677595671208347
35,0.668986952005857,3.475075001315446
36,0.5490907481520069,3.367377448022987
37,0.5846394667566288,3.4515362030460777
38,0.5668321623958594,3.299626641711653
39,0.39852407495821096,3.241590432094999
40,0.5349099328082899,3.3116353690896014
41,0.34745060157114893,3.2064758828541997
42,0.26678088446683607,3.2852291379029452
43,0.2624526221572286,3.2598509326660197
44,0.22120667158512786,3.1271417322488793
45,0.12852569962077856,3.1644093751877547
46,0.07853726386665452,3.312063128074622
47,0.08520487787199311,3.177795271711936
48,0.040616971673452844,3.123494109302129
49,-0.03361681355668604,3.1577602311424977
50,-0.11112426677202734,3.1464420415798866
51,-0.14872747168135228,3.079123865505956
52,-0.1371958482694038,3.013487249231081
53,-0.1291524574451837,3.081658010548945
54,-0.0991358393472129,2.918335044925219
55,-0.3842654547074192,2.895238575614206
56,-0.26084303604832126,2.8546578772320936
57,-0.32622253225811454,2.9265184317516644
58,-0.34957787553919856,2.814319269965001
59,-0.45713776075727375,2.8597812908674394
60,-0.508251594846168,2.866186262823386
61,-0.5127732730964614,2.752380986223873
62,-0.5626585505972811,2.8024992758425755
63,-0.52740096143081,2.7666444811531052
64,-0.46195306477328346,2.753267976548357
65,-0.4744619667280524,2.8259384603528948
66,-0.6641478045713334,2.7264970189928888
67,-0.6402052879622339,2.719172115701504
68,-0.5912574035869298,2.7640937099988814
69,-0.622401165458378,2.732261549827452
70,-0.6864969600215648,2.589046743108239
71,-0.6932619856956401,2.659282190541755
72,-0.6702079807585958,2.6447302162190462
73,-0.7742417280794434,2.597077025941383
74,-0.8254165688129701,2.5742191827024405
75,-0.8512905899191175,2.6782013031014533
76,-0.796752053596164,2.717467377186518
77,-0.7915837017648092,2.6080201970716126
78,-0.8512607785229725,2.671253448010468
79,-0.8438619394537111,2.675420108089008
80,-0.889534594155187,2.661779472106967
81,-0.8028072950816214,2.5175353809680194
82,-0.8977261239558454,2.6071535702937068
83,-0.8574420532759082,2.7398659404739316
84,-0.817335813539343,2.594114031509299
